ID,父id,简称,名称,全称,层级 0 1 2 省市区县,拼音,长途区号,url,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
3,2,东城,东城区,"中国,北京,北京市,东城区",3,dongcheng,10.0,http://www.bjdch.gov.cn/,,,,,,,,,,,,,,,,,,,
4,2,西城,西城区,"中国,北京,北京市,西城区",3,xicheng,10.0,https://www.bjxch.gov.cn/,,,,,,,,,,,,,,,,,,,
5,2,朝阳,朝阳区,"中国,北京,北京市,朝阳区",3,chaoyang,10.0,http://www.bjchy.gov.cn/,,,,,,,,,,,,,,,,,,,
6,2,丰台,丰台区,"中国,北京,北京市,丰台区",3,fengtai,10.0,http://www.bjft.gov.cn/,,,,,,,,,,,,,,,,,,,
7,2,石景山,石景山区,"中国,北京,北京市,石景山区",3,shijingshan,10.0,http://www.bjsjs.gov.cn/index.shtml,,,,,,,,,,,,,,,,,,,
8,2,海淀,海淀区,"中国,北京,北京市,海淀区",3,haidian,10.0,https://www.bjhd.gov.cn/,,,,,,,,,,,,,,,,,,,
9,2,门头沟,门头沟区,"中国,北京,北京市,门头沟区",3,mentougou,10.0,http://www.bjmtg.gov.cn/,,,,,,,,,,,,,,,,,,,
10,2,房山,房山区,"中国,北京,北京市,房山区",3,fangshan,10.0,http://www.bjfsh.gov.cn/,,,,,,,,,,,,,,,,,,,
11,2,通州,通州区,"中国,北京,北京市,通州区",3,tongzhou,10.0,http://www.bjtzh.gov.cn/,,,,,,,,,,,,,,,,,,,
12,2,顺义,顺义区,"中国,北京,北京市,顺义区",3,shunyi,10.0,http://www.bjshy.gov.cn/,,,,,,,,,,,,,,,,,,,
13,2,昌平,昌平区,"中国,北京,北京市,昌平区",3,changping,10.0,http://www.bjchp.gov.cn/,,,,,,,,,,,,,,,,,,,
14,2,大兴,大兴区,"中国,北京,北京市,大兴区",3,daxing,10.0,https://www.bjdx.gov.cn/,,,,,,,,,,,,,,,,,,,
15,2,怀柔,怀柔区,"中国,北京,北京市,怀柔区",3,huairou,10.0,http://www.bjhr.gov.cn/,,,,,,,,,,,,,,,,,,,
16,2,平谷,平谷区,"中国,北京,北京市,平谷区",3,pinggu,10.0,http://www.bjpg.gov.cn/,,,,,,,,,,,,,,,,,,,
17,2,密云,密云县,"中国,北京,北京市,密云县",3,miyun,10.0,http://www.bjmy.gov.cn/index.html,,,,,,,,,,,,,,,,,,,
18,2,延庆,延庆县,"中国,北京,北京市,延庆县",3,yanqing,10.0,http://www.bjyq.gov.cn/,,,,,,,,,,,,,,,,,,,
21,20,和平,和平区,"中国,天津,天津市,和平区",3,heping,22.0,http://www.tjhp.gov.cn/,,,,,,,,,,,,,,,,,,,
22,20,河东,河东区,"中国,天津,天津市,河东区",3,hedong,22.0,http://www.tjhd.gov.cn/,,,,,,,,,,,,,,,,,,,
23,20,河西,河西区,"中国,天津,天津市,河西区",3,hexi,22.0,https://www.tjhx.gov.cn/,,,,,,,,,,,,,,,,,,,
24,20,南开,南开区,"中国,天津,天津市,南开区",3,nankai,22.0,http://www.tjnk.gov.cn/,,,,,,,,,,,,,,,,,,,
25,20,河北,河北区,"中国,天津,天津市,河北区",3,hebei,22.0,http://www.tjhb.gov.cn/,,,,,,,,,,,,,,,,,,,
26,20,红桥,红桥区,"中国,天津,天津市,红桥区",3,hongqiao,22.0,http://www.tjhq.gov.cn/,,,,,,,,,,,,,,,,,,,
27,20,东丽,东丽区,"中国,天津,天津市,东丽区",3,dongli,22.0,https://www.tjdl.gov.cn/,,,,,,,,,,,,,,,,,,,
28,20,西青,西青区,"中国,天津,天津市,西青区",3,xiqing,22.0,https://www.tjxq.gov.cn/,,,,,,,,,,,,,,,,,,,
29,20,津南,津南区,"中国,天津,天津市,津南区",3,jinnan,22.0,http://www.tjjn.gov.cn/,,,,,,,,,,,,,,,,,,,
30,20,北辰,北辰区,"中国,天津,天津市,北辰区",3,beichen,22.0,https://www.tjbc.gov.cn/,,,,,,,,,,,,,,,,,,,
31,20,武清,武清区,"中国,天津,天津市,武清区",3,wuqing,22.0,https://www.tjwq.gov.cn/,,,,,,,,,,,,,,,,,,,
32,20,宝坻,宝坻区,"中国,天津,天津市,宝坻区",3,baodi,22.0,https://www.tjbd.gov.cn/,,,,,,,,,,,,,,,,,,,
33,20,滨海新区,滨海新区,"中国,天津,天津市,滨海新区",3,binhaixinqu,22.0,http://www.tjbh.gov.cn/,,,,,,,,,,,,,,,,,,,
34,20,宁河,宁河县,"中国,天津,天津市,宁河县",3,ninghe,22.0,https://www.tjnh.gov.cn/,,,,,,,,,,,,,,,,,,,
35,20,静海,静海县,"中国,天津,天津市,静海县",3,jinghai,22.0,http://www.tjjh.gov.cn/jhqzf/zwgk_28985/zfxxgk_qjjg1/,,,,,,,,,,,,,,,,,,,
36,20,蓟县,蓟县,"中国,天津,天津市,蓟县",3,jixian,22.0,https://www.tjjz.gov.cn/zwgk/zcwj/,,,,,,,,,,,,,,,,,,,
39,38,长安,长安区,"中国,河北省,石家庄市,长安区",3,chang'an,311.0,http://www.sjzca.gov.cn/,,,,,,,,,,,,,,,,,,,
40,38,桥西,桥西区,"中国,河北省,石家庄市,桥西区",3,qiaoxi,311.0,http://www.sjzqx.gov.cn/,,,,,,,,,,,,,,,,,,,
41,38,新华,新华区,"中国,河北省,石家庄市,新华区",3,xinhua,311.0,http://www.xhqsjz.gov.cn/,,,,,,,,,,,,,,,,,,,
42,38,井陉矿区,井陉矿区,"中国,河北省,石家庄市,井陉矿区",3,jingxingkuangqu,311.0,http://www.sjzkq.gov.cn/,,,,,,,,,,,,,,,,,,,
43,38,裕华,裕华区,"中国,河北省,石家庄市,裕华区",3,yuhua,311.0,http://www.yuhuaqu.gov.cn/,,,,,,,,,,,,,,,,,,,
44,38,藁城,藁城区,"中国,河北省,石家庄市,藁城区",3,gaocheng,311.0,http://www.gc.gov.cn/,,,,,,,,,,,,,,,,,,,
45,38,鹿泉,鹿泉区,"中国,河北省,石家庄市,鹿泉区",3,luquan,311.0,http://www.sjzlq.gov.cn/,,,,,,,,,,,,,,,,,,,
46,38,栾城,栾城区,"中国,河北省,石家庄市,栾城区",3,luancheng,311.0,http://www.luancheng.gov.cn/,,,,,,,,,,,,,,,,,,,
47,38,井陉,井陉县,"中国,河北省,石家庄市,井陉县",3,jingxing,311.0,http://www.sjzjx.gov.cn/?medium=01&category_path=01.00.00.00.00.00&filter=0|1|0|0|0|0,,,,,,,,,,,,,,,,,,,
48,38,正定,正定县,"中国,河北省,石家庄市,正定县",3,zhengding,311.0,http://www.zd.gov.cn/,,,,,,,,,,,,,,,,,,,
49,38,行唐,行唐县,"中国,河北省,石家庄市,行唐县",3,xingtang,311.0,http://www.xingtang.gov.cn/?ivk_sa=1024320u,,,,,,,,,,,,,,,,,,,
50,38,灵寿,灵寿县,"中国,河北省,石家庄市,灵寿县",3,lingshou,311.0,http://www.lingshou.gov.cn/,,,,,,,,,,,,,,,,,,,
51,38,高邑,高邑县,"中国,河北省,石家庄市,高邑县",3,gaoyi,311.0,http://www.gyx.gov.cn/,,,,,,,,,,,,,,,,,,,
52,38,深泽,深泽县,"中国,河北省,石家庄市,深泽县",3,shenze,311.0,http://www.shenze.gov.cn/,,,,,,,,,,,,,,,,,,,
53,38,赞皇,赞皇县,"中国,河北省,石家庄市,赞皇县",3,zanhuang,311.0,http://www.zanhuang.gov.cn/,,,,,,,,,,,,,,,,,,,
