ID,父id,简称,名称,全称,层级 0 1 2 省市区县,拼音,长途区号,url
3206,0,新疆,新疆维吾尔自治区,"中国,新疆维吾尔自治区",1,xinjiang,,
3178,0,宁夏,宁夏回族自治区,"中国,宁夏回族自治区",1,ningxia,,
3126,0,青海,青海省,"中国,青海省",1,qinghai,,
3022,0,甘肃,甘肃省,"中国,甘肃省",1,gansu,,
2898,0,陕西,陕西省,"中国,陕西省",1,shaanxi,,
2816,0,西藏,西藏自治区,"中国,西藏自治区",1,tibet,,
2670,0,云南,云南省,"中国,云南省",1,yunnan,,
2572,0,贵州,贵州省,"中国,贵州省",1,guizhou,,
2367,0,四川,四川省,"中国,四川省",1,sichuan,,
2323,0,重庆,重庆,"中国,重庆",1,chongqing,,
2291,0,海南,海南省,"中国,海南省",1,hainan,,
2162,0,广西,广西壮族自治区,"中国,广西壮族自治区",1,guangxi,,
1964,0,广东,广东省,"中国,广东省",1,guangdong,,
1827,0,湖南,湖南省,"中国,湖南省",1,hunan,,
1709,0,湖北,湖北省,"中国,湖北省",1,hubei,,
1532,0,河南,河南省,"中国,河南省",1,henan,,
1375,0,山东,山东省,"中国,山东省",1,shandong,,
1263,0,江西,江西省,"中国,江西省",1,jiangxi,,
1168,0,福建,福建省,"中国,福建省",1,fujian,,
1046,0,安徽,安徽省,"中国,安徽省",1,anhui,,
933,0,浙江,浙江省,"中国,浙江省",1,zhejiang,,
820,0,江苏,江苏省,"中国,江苏省",1,jiangsu,,
801,0,上海,上海,"中国,上海",1,shanghai,,
655,0,黑龙江,黑龙江省,"中国,黑龙江省",1,heilongjiang,,
585,0,吉林,吉林省,"中国,吉林省",1,jilin,,
466,0,辽宁,辽宁省,"中国,辽宁省",1,liaoning,,
351,0,内蒙古,内蒙古自治区,"中国,内蒙古自治区",1,innermongolia,,
220,0,山西,山西省,"中国,山西省",1,shanxi,,
37,0,河北,河北省,"中国,河北省",1,hebei,,
19,0,天津,天津,"中国,天津",1,tianjin,,
1,0,北京,北京,"中国,北京",1,beijing,,
3317,3206,直辖县,直辖县级,"中国,新疆维吾尔自治区,直辖县级",2,zhixiaxian,,
3309,3206,阿勒泰,阿勒泰地区,"中国,新疆维吾尔自治区,阿勒泰地区",2,altay,906,
3301,3206,塔城,塔城地区,"中国,新疆维吾尔自治区,塔城地区",2,qoqek,901,
3289,3206,伊犁,伊犁哈萨克自治州,"中国,新疆维吾尔自治区,伊犁哈萨克自治州",2,ili,999,
3280,3206,和田,和田地区,"中国,新疆维吾尔自治区,和田地区",2,hotan,903,
3267,3206,喀什,喀什地区,"中国,新疆维吾尔自治区,喀什地区",2,kashgar,998,
3262,3206,克孜勒苏,克孜勒苏柯尔克孜自治州,"中国,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州",2,kizilsu,908,
3252,3206,阿克苏,阿克苏地区,"中国,新疆维吾尔自治区,阿克苏地区",2,aksu,997,
3242,3206,巴音郭楞,巴音郭楞蒙古自治州,"中国,新疆维吾尔自治区,巴音郭楞蒙古自治州",2,bayingol,996,
3237,3206,博尔塔拉,博尔塔拉蒙古自治州,"中国,新疆维吾尔自治区,博尔塔拉蒙古自治州",2,bortala,909,
3229,3206,昌吉,昌吉回族自治州,"中国,新疆维吾尔自治区,昌吉回族自治州",2,changji,994,
3225,3206,哈密,哈密地区,"中国,新疆维吾尔自治区,哈密地区",2,hami,902,
3221,3206,吐鲁番,吐鲁番地区,"中国,新疆维吾尔自治区,吐鲁番地区",2,turpan,995,
3216,3206,克拉玛依,克拉玛依市,"中国,新疆维吾尔自治区,克拉玛依市",2,karamay,990,
3207,3206,乌鲁木齐,乌鲁木齐市,"中国,新疆维吾尔自治区,乌鲁木齐市",2,urumqi,991,
3202,3178,中卫,中卫市,"中国,宁夏回族自治区,中卫市",2,zhongwei,955,
3196,3178,固原,固原市,"中国,宁夏回族自治区,固原市",2,guyuan,954,
3190,3178,吴忠,吴忠市,"中国,宁夏回族自治区,吴忠市",2,wuzhong,953,
3186,3178,石嘴山,石嘴山市,"中国,宁夏回族自治区,石嘴山市",2,shizuishan,952,
3179,3178,银川,银川市,"中国,宁夏回族自治区,银川市",2,yinchuan,951,
3172,3126,海西,海西蒙古族藏族自治州,"中国,青海省,海西蒙古族藏族自治州",2,haixi,977,
3165,3126,玉树,玉树藏族自治州,"中国,青海省,玉树藏族自治州",2,yushu,976,
3158,3126,果洛,果洛藏族自治州,"中国,青海省,果洛藏族自治州",2,golog,975,
3152,3126,海南,海南藏族自治州,"中国,青海省,海南藏族自治州",2,hainan,974,
3147,3126,黄南,黄南藏族自治州,"中国,青海省,黄南藏族自治州",2,huangnan,973,
3142,3126,海北,海北藏族自治州,"中国,青海省,海北藏族自治州",2,haibei,970,
3135,3126,海东,海东市,"中国,青海省,海东市",2,haidong,972,
3127,3126,西宁,西宁市,"中国,青海省,西宁市",2,xining,971,
3117,3022,甘南,甘南藏族自治州,"中国,甘肃省,甘南藏族自治州",2,gannan,941,
3108,3022,临夏,临夏回族自治州,"中国,甘肃省,临夏回族自治州",2,linxia,930,
3098,3022,陇南,陇南市,"中国,甘肃省,陇南市",2,longnan,939,
3090,3022,定西,定西市,"中国,甘肃省,定西市",2,dingxi,932,
3081,3022,庆阳,庆阳市,"中国,甘肃省,庆阳市",2,qingyang,934,
3073,3022,酒泉,酒泉市,"中国,甘肃省,酒泉市",2,jiuquan,937,
3065,3022,平凉,平凉市,"中国,甘肃省,平凉市",2,pingliang,933,
3058,3022,张掖,张掖市,"中国,甘肃省,张掖市",2,zhangye,936,
3053,3022,武威,武威市,"中国,甘肃省,武威市",2,wuwei,935,
3045,3022,天水,天水市,"中国,甘肃省,天水市",2,tianshui,938,
3039,3022,白银,白银市,"中国,甘肃省,白银市",2,baiyin,943,
